-5.2164736e-04_C   6.0000000e+00_C
  0.0150377   -0.9303548
 -0.0709932   -0.9303548
 -0.2526638   -0.9303548
 -0.3799626   -0.9303548
 -0.3079374    1.0696452
 -0.2353901    1.0696452
 -0.1696514    1.0696452
 -0.0093689    1.0696452
  0.1335828   -0.9303548
  0.1878158   -0.9303548
  0.1423949   -0.9303548
  0.0268047   -0.9303548
 -0.0979074   -0.9303548
 -0.2125610   -0.9303548
 -0.3041249    1.0696452
 -0.3156415    1.0696452
 -0.2593471    1.0696452
 -0.1925093    1.0696452
 -0.0051167    1.0696452
  0.1332851    1.0696452
  0.1662809    1.0696452
  0.2589270    1.0696452
  0.3098662    1.0696452
  0.2581568    1.0696452
  0.2507298    1.0696452
  0.2677724    1.0696452
  0.2638960   -0.9303548
  0.2887891   -0.9303548
  0.2160984   -0.9303548
  0.0717493   -0.9303548
 -0.0693642   -0.9303548
 -0.2757606   -0.9303548
 -0.4083441    1.0696452
 -0.1295519    1.0696452
  0.2538282   -0.9303548
  0.3190332   -0.9303548
  0.2042423   -0.9303548
  0.0941665   -0.9303548
 -0.0328234   -0.9303548
 -0.1732004   -0.9303548
 -0.2707161    1.0696452
 -0.3051380    1.0696452
 -0.2174296   -0.9303548
 -0.0521539   -0.9303548
  0.0286360    1.0696452
  0.0200369    1.0696452
  0.0405364    1.0696452
  0.1053529    1.0696452
  0.1844819   -0.9303548
  0.2217775   -0.9303548
  0.1595395   -0.9303548
 -0.0164475   -0.9303548
 -0.1708982   -0.9303548
 -0.2408468   -0.9303548
 -0.2032742   -0.9303548
 -0.4958160   -0.9303548
 -0.4656926    1.0696452
 -0.1351621    1.0696452
 -0.1685852   -0.9303548
 -0.1083488   -0.9303548
 -0.0751941    1.0696452
 -0.2829440    1.0696452
 -0.3271074   -0.9303548
 -0.1422160   -0.9303548
 -0.0935623    1.0696452
 -0.0146397    1.0696452
  0.0572884    1.0696452
  0.1074493    1.0696452
  0.2432607   -0.9303548
  0.3161927   -0.9303548
  0.2006488    1.0696452
  0.0990129    1.0696452
  0.1041451   -0.9303548
  0.1565215   -0.9303548
  0.1265300    1.0696452
  0.2060825    1.0696452
  0.3076638    1.0696452
  0.2722970    1.0696452
  0.2706528    1.0696452
  0.2729152    1.0696452
  0.2649264    1.0696452
  0.2922552    1.0696452
  0.3190568    1.0696452
  0.3166550    1.0696452
  0.5119339    1.0696452
  0.5842424    1.0696452
  0.4260914   -0.9303548
  0.3808870   -0.9303548
  0.2800335    1.0696452
  0.1404132    1.0696452
  0.0781002   -0.9303548
